tfidf_similarity,skill_match_score,keyword_match_score,experience_years,education_level,has_projects,num_skills,text_length,document_confidence,structure_score,impact_score,word_count,bullet_count,required_experience_years,experience_match_score,matched_skill_count,missing_skill_count,jd_skill_count,matched_keyword_count,missing_keyword_count,section_count,has_contact,ats_score,match_percentage,hired
0.22008771247976222,0.437990016522609,0.48821848801230056,5,0,0,27,966,0.7405090424830234,0.57517330218796,0.7567567139106164,138,5,7,0.7142857142857143,7,8,15,11,16,3,1,51.41582981459287,38.639452446089074,0
0.4475885111588298,0.5303614594058987,0.395650777206442,14,1,0,25,3905,0.7487696931818866,0.820712279471304,0.8463844270480453,781,6,4,1.0,3,2,5,4,21,4,1,55.63507911405489,56.936040396732174,0
0.4767636088005182,0.6992709726792882,0.09157382855691755,4,1,1,11,3100,0.7881713003237023,0.8958902584341994,0.6692312230904195,620,5,7,0.5714285714285714,7,3,10,1,9,5,1,56.88289831156087,56.8741575832643,0
0.5174289851477939,0.6718042943618262,0.7331281997317001,3,1,1,3,960,0.5547917565261107,0.4906685640975395,0.5281997215869125,192,4,2,1.0,5,2,7,15,11,3,0,72.44978838147283,56.089700958581524,1
0.1136070576069225,0.0253218092348955,0.002625020214730146,0,0,0,3,258,0.03431378733636664,0.012676567289980085,0.011730698915590315,71,0,1,0.0,0,3,3,1,17,0,0,0.0,0.0,0
0.46117169848918194,0.7439874271899622,0.689385637568476,0,0,1,16,4081,1.0,0.7656476235932568,0.565105426285072,583,10,3,0.0,3,1,4,18,3,5,1,62.18934570633893,73.50519744282882,1
0.7584448392397993,0.3634823821672297,0.5950125090206699,0,1,1,7,3336,0.7791088687583708,0.7264636452170896,0.6244558992292726,556,13,0,0.75,3,4,7,11,4,4,1,58.695444734717775,48.28726118108327,0
0.6860141643472442,0.3499502622417754,0.6987978164174767,9,3,1,9,4320,0.8504227268670504,0.8935039992241692,0.726765065755378,720,4,0,0.75,5,8,13,17,0,5,1,58.11469956467196,58.30787037624955,1
0.45726959371702836,0.7667982011600892,0.2035255978387541,15,0,1,17,1673,0.866066415013967,0.7710254674853799,0.8671757625280548,239,9,4,1.0,12,4,16,4,7,4,1,60.639620166221555,66.10521348338597,1
0.5658914103599247,0.558876558153067,0.8505568343823822,11,1,1,25,4730,0.9108467527472148,1.0,0.7251928622670584,946,5,0,0.75,4,4,8,10,11,5,1,74.91106574981126,72.59290041493792,1
0.07489896472188558,0.06938387513507077,0.016845266115464844,0,1,0,3,312,0.29620826491889407,0.2798542424038394,0.07433750917827674,28,0,6,0.0,1,10,11,0,9,1,0,1.3516751750763785,0.0,0
0.09297793541558202,0.0180151934649068,0.10226144374959588,0,0,0,0,371,0.05569818632623667,0.19274351347870186,0.005019372979695802,47,0,2,0.0,0,6,6,0,7,0,0,11.092673748358871,11.143343175720771,0
0.7813975089215488,0.4081493466427623,0.8667972358834218,12,3,1,5,4470,0.8036392480062347,0.8822297263578429,0.6455050990797768,894,4,10,1.0,6,8,14,23,0,4,1,65.61303231491517,69.25696906275203,0
0.37817782560611946,0.42710697364726097,0.45478392041713755,1,1,0,26,1974,0.7510768196349529,0.6003422942323556,0.6396541132922373,329,8,10,0.1,2,3,5,5,22,4,1,46.58842301784388,46.35355091755058,0
0.04835164819991208,0.6202097734065636,0.6311675933649099,10,2,1,15,5880,0.9384995461668462,0.8548633082663306,0.5380711005838353,840,3,1,1.0,4,2,6,9,18,5,1,61.54258919789334,52.237664501080175,1
0.9003098595447219,0.4453673544146149,0.7424062235024758,14,1,1,14,3871,0.9943479250673714,0.9721036831418021,0.6320258222308399,553,4,5,1.0,7,8,15,14,2,5,1,67.45665854737953,66.16323833863005,0
0.6057186066251117,0.6333548813903944,0.31998624882207877,12,1,1,21,3705,1.0,0.8233916228981264,0.5946119280406427,741,3,10,1.0,6,3,9,4,16,5,1,59.09728271939635,57.4261855820019,0
0.5302035994768611,0.8167399089217693,0.971041091673551,9,2,0,11,2950,0.7331819961657267,0.5949893844762566,0.6857300089459956,590,3,3,1.0,8,2,10,12,14,4,1,78.61988577067581,84.63986960681224,1
0.17748152369088435,0.7654255616414498,0.2512167809415627,7,1,1,19,4296,0.8259178275497921,0.9867015144067797,0.7052852143700685,716,6,1,1.0,12,4,16,3,13,5,1,57.088382720883615,54.74650857607744,0
0.7418364680597608,0.7617778627124633,0.19923686950727484,3,2,1,19,5004,0.9369424673444346,1.0,0.6376564582096601,834,6,3,1.0,5,2,7,3,11,5,1,67.84403944239581,58.54442350349508,1
0.7498198844698731,0.3183585258905447,0.41689563185332895,8,1,1,26,924,0.7185426185536269,0.764501321203543,0.7387768620792832,154,6,4,1.0,5,10,15,11,15,4,1,56.854891995331094,47.093022738427194,0
0.7890250025966272,0.6243290156274524,0.5993203154406492,13,2,1,22,1152,0.6867073570929765,0.8451634718353848,0.6454047756935554,192,4,5,1.0,6,4,10,10,0,4,1,67.14155309656763,63.74061238608468,0
0.47685129956189337,0.7011222004661014,0.8380114176303851,9,1,0,19,3515,0.7279573691850285,0.7524469455835651,0.9020376965110423,703,8,10,0.9,11,4,15,22,0,4,1,71.3886643319316,68.23075683644198,1
0.9136623547585915,0.30435948296319226,0.6789102031074894,4,2,1,23,4248,1.0,0.8951137122954784,0.6730194037322108,708,4,3,1.0,2,3,5,14,0,5,1,68.55953059402819,58.29507101456953,1
0.5647989425181742,0.571460223015103,0.7165107489306898,12,1,1,2,2900,0.7392250708859146,0.7794380477254967,0.7282436888442181,580,5,0,0.75,8,6,14,19,7,4,0,57.49236673424496,56.5254867093519,0
0.4420377564625575,0.609494560988052,0.5376164933355911,9,1,0,7,1512,0.4842403018054148,0.48808278765313606,0.9274362605556568,216,9,0,0.75,7,4,11,14,0,2,0,47.491510461196114,45.65946854143189,1
0.19745265446842447,0.17463745255905433,0.4422238829125679,0,1,0,0,377,0.058575818136958675,0.16296371391806244,0.09053739218246899,25,1,5,0.0,1,3,4,1,19,0,0,6.136516120181771,13.314470040608288,0
0.6015329282868227,0.8897925477477103,0.43829084625935166,1,1,0,26,2028,0.6401555644910014,0.6262820730149493,0.5290749475475259,338,7,0,0.75,6,1,7,10,4,4,1,66.14197297289135,69.65966888297069,1
0.8967590632776309,0.4978516423662094,0.6703784771840539,7,2,1,13,4140,0.9687734107175089,0.9968142257861895,0.9642331782401117,828,14,5,1.0,8,8,16,14,2,5,1,70.96785640348469,68.16039566977425,1
0.5416800537772346,0.3981717238220043,0.33294287311138115,3,0,1,17,3618,0.9203916216573563,0.8075951911478656,0.5687449182564888,603,3,5,0.6,2,4,6,7,4,5,1,53.9639079413555,43.45811093964181,0
0.19502655541480665,0.20192659668796642,0.6260256450709377,5,2,1,27,2016,0.7301268460647644,0.9746264604073259,0.5797025786131952,336,3,5,1.0,2,6,8,11,13,5,1,47.521404322599885,38.66217659162325,0
0.22066892251516168,0.8349773824152268,0.17714096633963244,4,0,1,14,4018,0.9788770312525511,0.9416817482013926,0.8563318633496831,574,9,0,0.75,3,1,4,2,16,5,1,56.03855559216868,52.44710961026128,0
0.3754255815911895,0.6871590413130056,0.24824947373456935,10,1,1,16,2814,0.9758137441345575,0.9900281574959702,0.6546788917477478,469,4,3,1.0,11,5,16,4,17,5,1,58.962562425641806,49.61358195288954,0
